id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
36,World,388966.225746221,804986.744272519,17.4032062274922,0.011,0.016,28/09/2023 11:43:43 p.m.,638315414230000000
66,World,388935.058342376,804995.063433796,17.6554745668421,0.009,0.013,28/09/2023 11:44:13 p.m.,638315414530000000
98,World,388915.119998224,804996.137668653,17.7969486459317,0.011,0.015,28/09/2023 11:44:45 p.m.,638315414850000000
162,World,388856.100549427,805002.330468642,18.0506686452267,0.009,0.012,28/09/2023 11:45:49 p.m.,638315415490000000
992,World,388871.371893518,805052.274935238,19.093677947477,0.217,0.913,28/09/2023 11:46:47 p.m.,638315416070000000
1007,World,388871.994872409,805053.214018055,18.8815025436509,0.057,0.093,28/09/2023 11:47:02 p.m.,638315416220000000
1065,World,388932.396530013,805058.129021832,17.6071919868368,0.008,0.011,28/09/2023 11:48:00 p.m.,638315416800000000
1127,World,388937.207402144,805075.669739706,17.5414685745615,0.045,0.032,28/09/2023 11:48:33 p.m.,638315417130000000
1157,World,388955.688446602,805082.295263583,17.5113507128068,0.067,0.093,28/09/2023 11:49:03 p.m.,638315417430000000
1780,Device,388954.446462347,805117.002488066,17.7964141108245,0.272739315457406,0.240389373308077,28/09/2023 11:49:47 p.m.,638315417870048880
2198,World,388965.839326396,805075.692137074,17.3788863958163,0.107,0.258,28/09/2023 11:50:38 p.m.,638315418380000000
2220,World,388972.632833557,805071.972033058,17.3931991803558,0.266,0.431,28/09/2023 11:51:00 p.m.,638315418600000000
2243,World,388980.71772742,805067.525101566,17.6512880754355,0.146,0.179,28/09/2023 11:51:23 p.m.,638315418830000000
2859,World,388987.674800876,805026.164523491,17.1534979722424,0.022,0.022,28/09/2023 11:52:09 p.m.,638315419290000000
2877,World,388986.86159786,805016.441794467,17.1776987831565,0.031,0.052,28/09/2023 11:52:27 p.m.,638315419470000000
