id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
1,World,388968.203584302,804987.260737662,17.4393996574757,0.021,0.025,16/10/2023 2:10:49 a.m.,638330190490000000
2,World,388968.242541292,804987.287918615,17.4390440228501,0.023,0.027,16/10/2023 2:10:50 a.m.,638330190500000000
3,World,388968.22455271,804987.278528624,17.4323892805578,0.019,0.023,16/10/2023 2:10:51 a.m.,638330190510000000
4,World,388968.123919451,804987.319818817,17.4558283620292,0.02,0.024,16/10/2023 2:10:52 a.m.,638330190520000000
5,World,388967.51179592,804987.294623851,17.4761018463325,0.015,0.017,16/10/2023 2:10:53 a.m.,638330190530000000
6,World,388966.669458064,804987.101204842,17.4679857897239,0.018,0.02,16/10/2023 2:10:54 a.m.,638330190540000000
7,World,388966.190436635,804986.918813028,17.4349908032487,0.016,0.019,16/10/2023 2:10:55 a.m.,638330190550000000
8,World,388966.182025266,804986.761668814,17.4570659776983,0.019,0.021,16/10/2023 2:10:56 a.m.,638330190560000000
9,World,388966.193646516,804986.744124215,17.4448288132996,0.019,0.022,16/10/2023 2:10:57 a.m.,638330190570000000
10,World,388966.196823942,804986.745397569,17.4516787994515,0.022,0.024,16/10/2023 2:10:58 a.m.,638330190580000000
11,World,388966.195720824,804986.719249874,17.4269286769527,0.02,0.023,16/10/2023 2:10:59 a.m.,638330190590000000
12,World,388966.221961726,804986.724930013,17.4261823677139,0.022,0.025,16/10/2023 2:11:00 a.m.,638330190600000000
13,World,388966.240308674,804986.727840728,17.4287775492962,0.016,0.018,16/10/2023 2:11:01 a.m.,638330190610000000
14,World,388966.233137285,804986.729719207,17.4375884538915,0.018,0.021,16/10/2023 2:11:02 a.m.,638330190620000000
15,World,388966.225046702,804986.72401653,17.4394408950186,0.019,0.022,16/10/2023 2:11:03 a.m.,638330190630000000
16,World,388966.232046617,804986.722854296,17.4377705486495,0.017,0.019,16/10/2023 2:11:04 a.m.,638330190640000000
