id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
37,World,388966.244215181,804986.715684447,17.3634191376822,0.01,0.017,26/09/2023 5:58:54 a.m.,638313047340000000
74,World,388935.063541235,804995.09055332,17.6368709248115,0.011,0.019,26/09/2023 5:59:31 a.m.,638313047710000000
96,World,388915.075273975,804996.153457194,17.7877026104911,0.009,0.016,26/09/2023 5:59:53 a.m.,638313047930000000
153,World,388856.090331836,805002.344260188,18.0595830964463,0.008,0.015,26/09/2023 6:00:50 a.m.,638313048500000000
730,Device,388871.372700066,805052.517883532,18.878312752584,0.24942469184408,0.254906474488049,26/09/2023 6:01:41 a.m.,638313049010131860
848,World,388872.001851406,805053.206519409,18.9675629352531,0.029,0.058,26/09/2023 6:01:57 a.m.,638313049170000000
942,World,388932.391134112,805058.134868827,17.6019334140775,0.007,0.012,26/09/2023 6:03:31 a.m.,638313050110000000
981,World,388937.197040928,805075.683385045,17.524392136569,0.028,0.042,26/09/2023 6:04:10 a.m.,638313050500000000
1012,World,388955.744800005,805082.237106951,17.4528703741937,0.047,0.049,26/09/2023 6:04:41 a.m.,638313050810000000
1398,World,388954.281801683,805116.843253869,17.4183183741342,0.026,0.049,26/09/2023 6:05:19 a.m.,638313051190000000
1454,World,388965.871412074,805075.856197656,17.6600665119472,0.073,0.121,26/09/2023 6:06:15 a.m.,638313051750000000
1469,World,388972.678640148,805071.860966532,17.8284787987565,0.225,0.284,26/09/2023 6:06:30 a.m.,638313051900000000
1816,Device,388980.802356399,805067.165133354,19.3338263213766,0.279553355194595,0.260493557594264,26/09/2023 6:06:50 a.m.,638313052100188500
2444,World,388987.676840459,805026.168007839,17.1544499563237,0.025,0.038,26/09/2023 6:07:31 a.m.,638313052510000000
2467,World,388986.830972893,805016.428077657,17.1337563554109,0.014,0.023,26/09/2023 6:07:54 a.m.,638313052740000000
